DIVISION,CODE,PARENT,NAME,NAME_EN,NAME_RU,NAME_AR,DESCRIPTION,DESCRIPTION_EN,DESCRIPTION_RU,DESCRIPTION_AR
מדינה,,,ישראל,Israel,,,,,,
מחוז,,ישראל,חיפה,Haifa,Хайфский,حيفا,,,,
מחוז,,ישראל,הדרום,The South,Южный,الجنوب,,,,
מחוז,,ישראל,תל אביב,Tel Aviv,Тель-Авивский,تل أبيب,,,,
מחוז,,ישראל,המרכז,The Center,Центральный,المركز,,,,
מחוז,,ישראל,אזור יהודה והשומרון,Yehuda and Shumron,Иудея и Самария,يهودا والسامرة,,,,
מחוז,,ישראל,הצפון,The North,Северный,الشمال,,,,
מחוז,,ישראל,ירושלים,Jerusalem,Иерусалимский,القدس,,,,
נפה,,הצפון,צפת,Tzfat,,صفد,,,,
נפה,,הצפון,כנרת,Kinneret,,طبريا,,,,
נפה,,הצפון,יזרעל,Yisrael,,يزرعيل,,,,
נפה,,הצפון,עכו,Akko,,عكا,,,,
נפה,,הצפון,גולן,Golan,,الجولان,,,,
נפה,,חיפה,חיפה,Haifa,,حيفا,,,,
נפה,,חיפה,חדרה,Hadera,,الخضيرة,,,,
נפה,,המרכז,השרון,HaSharon,,شارون,,,,
נפה,,המרכז,פתח תקווה,Petach Tikva,,بتاح تكفا,,,,
נפה,,המרכז,רמלה,Ramla,,الرملة,,,,
נפה,,המרכז,רחובות,Rehovot,,رحوفوت,,,,
נפה,,תל אביב,תל אביב,Tel Aviv,,تل أبيب,,,,
נפה,,הדרום,אשקלון,Ashkelon,,اشكلون,,,,
נפה,,הדרום,באר שבע,Be'er Sheva,,بئر السبع,,,,
עירייה,2710,חיפה,אום אל-פחם,Uum Al-Fahem,Умм-эль-Фахм,أم الفحم,,,,
עירייה,0031,הדרום,אופקים,Ofekim,Офаким,أوفاكيم,,,,
עירייה,2400,תל אביב,אור יהודה,Or Yehuda,Ор-Йехуда,أور یهودا,,,,
עירייה,1020,חיפה,אור עקיבא,Or Akiva,Ор-Акива,أور عقيفا,,,,
עירייה,2600,הדרום,אילת,Eilat,Эйлат,إيلات,,,,
עירייה,1309,המרכז,אלעד,Elad,Эльад,العاد,,,,
עירייה,3570,אזור יהודה והשומרון,אריאל,Ariel,Ариэль,أريئيل,,,,
עירייה,0070,הדרום,אשדוד,Ashdod,Ашдод,أشدود,,,,
עירייה,7100,הדרום,אשקלון,Ashkelon,Ашкелон,اشكلون,,,,
עירייה,6000,חיפה,באקה אל-גרביה,Baka El-Garbia,Бака Эль-Гарбия,باقة الغربية,,,,
עירייה,9000,הדרום,באר שבע,Be'er Sheva,Беэр-Шева,بئر السبع,,,,
עירייה,9200,הצפון,בית שאן,Beit She'an,Бейт-Шеан,بيت شان,,,,
עירייה,2610,ירושלים,בית שמש,Bet Shemesh,Бейт-Шемеш,بيت شمش,,,,
עירייה,3780,אזור יהודה והשומרון,ביתר עילית,Beitar Illit,Бейтар-Илит,بيتار عيليت,,,,
עירייה,6100,תל אביב,בני ברק,Bnei Barak,Бней-Брак,بني براك,,,,
עירייה,6200,תל אביב,בת ים,Bat Yam,Бат-Ям,بات يام,,,,
עירייה,0681,המרכז,גבעת שמואל,Givat Shmuel,Гиват-Шмуэль,جفعات شموئيل,,,,
עירייה,6300,תל אביב,גבעתיים,Givatayim,Гиватаим,جفعاتايم,,,,
עירייה,2200,הדרום,דימונה,Dimonah,Димона,ديمونة,,,,
עירייה,9700,המרכז,הוד השרון,Hod HaSharon,Ход-ха-Шарон,هود هشارون,,,,
עירייה,6400,תל אביב,הרצלייה,Herzliya,Герцлия,هرتزيلية,,,,
עירייה,6500,חיפה,חדרה,Hadera,Хадера,الخضيرة,,,,
עירייה,6600,תל אביב,חולון,Holon,Холон,حولون,,,,
עירייה,4000,חיפה,חיפה,Haifa,Хайфа,حيفا,,,,
עירייה,6700,הצפון,טבריה,Tiberia,Тверия,طبريا,,,,
עירייה,2730,המרכז,טייבה,Taibeh,Тайбе,الطيبة,,,,
עירייה,2720,המרכז,טירה,Tira,Тира,الطيرة,,,,
עירייה,2100,חיפה,טירת כרמל,Tirat HaCarmel,Тират-Кармель,طيرة الكرمل,,,,
עירייה,8900,הצפון,טמרה,Tamara,Тамра,طمرة,,,,
עירייה,2660,המרכז,יבנה,Yavneh,Явне,يفنه,,,,
עירייה,9400,המרכז,יהוד,Yehud,Йехуд,يهود,,,,
עירייה,0240,הצפון,יקנעם עילית,Yokne'am Illit,Йокнеам-Илит,يوكنعام عيليت,,,,
עירייה,3000,ירושלים,ירושלים,Jerusalem,Иерусалим,القدس,,,,
עירייה,6900,המרכז,כפר סבא,Kfar Saba,Кфар-Сава,كفار سابا,,,,
עירייה,0634,המרכז,כפר קאסם,Kfar Qassam,Кафр-Касем,كفر قاسم,,,,
עירייה,1139,הצפון,כרמיאל,Carmiel,Кармиэль,كرمئيل,,,,
עירייה,7000,המרכז,לוד,Lod,Лод,اللد,,,,
עירייה,0874,הצפון,מגדל העמק,Migdal HaEmek,Мигдаль-ха-Эмек,مجدال هعيمق,,,,
עירייה,3797,אזור יהודה והשומרון,מודיעין עילית,Modi'in Illit,Модиин-Илит,موديعين عيليت,,,,
עירייה,1200,המרכז,מודיעין-מכבים-רעות*,Modi'in Maccabim-Reut,Модиин-Маккабим-Реут,موديعين-مكابيم-ريعوت,,,,
עירייה,3616,אזור יהודה והשומרון,מעלה אדומים,Ma'aleh Adomim,Маале-Адумим,معاليه أدوميم,,,,
עירייה,1063,הצפון,מעלות-תרשיחא,,Маалот-Таршиха,ترشيحا,,,,
עירייה,9100,הצפון,נהרייה,Nahariya,Нагария,نهاريا,,,,
עירייה,7200,המרכז,נס ציונה,Ness Ziona,Нес-Циона,نيس زيونا,,,,
עירייה,7300,הצפון,נצרת,Nazereth,Назарет,الناصرة,,,,
עירייה,1061,הצפון,נצרת עילית,Nazereth Illit,Нацерет-Иллит,نتسيرت عيليت,,,,
עירייה,2500,חיפה,נשר,Nesher,Нешер,نيشير,,,,
עירייה,0246,הדרום,נתיבות,Netivot,Нетивот,نتيفوت,,,,
עירייה,7400,המרכז,נתניה,Netanyah,Нетания,نتانيا,,,,
עירייה,7500,הצפון,סח'נין,Sachnin,Сахнин,سخنين,,,,
עירייה,7600,הצפון,עכו,Akko,Акко,عكا,,,,
עירייה,7700,הצפון,עפולה,Afula,Афула,العفولة,,,,
עירייה,2560,הדרום,ערד,Arad,Арад,عراد,,,,
עירייה,7900,המרכז,פתח תקווה,Petach Tikva,Петах-Тиква,بتاح تكفا,,,,
עירייה,8000,הצפון,צפת,Tzafat,Цфат,صفد,,,,
עירייה,0638,המרכז,קלנסווה,,Калансуа,قلنسوة,,,,
עירייה,2620,תל אביב,קריית אונו,Kiryat Ono,Кирьят-Оно,كريات أونو,,,,
עירייה,6800,חיפה,קריית אתא,Kiryat Ata,Кирьят-Ата,كريات آتا,,,,
עירייה,9500,חיפה,קריית ביאליק,Kiryat Bialik,Кирьят-Бялик,کریات بیالیك,,,,
עירייה,2630,הדרום,קריית גת,Kiryat Gat,Кирьят-Гат,كريات جات,,,,
עירייה,9600,חיפה,קריית ים,Kiryat Yam,Кирьят-Ям,كريات يام,,,,
עירייה,8200,חיפה,קריית מוצקין,Kiryat Motzkin,Кирьят-Моцкин,كريات موصقين,,,,
עירייה,1034,הדרום,קריית מלאכי,Kiryat Malakhi,Кирьят-Малахи,كريات ملاخي,,,,
עירייה,2800,הצפון,קריית שמונה,Kiryat Shmona,Кирьят-Шмона,كريات شمونة,,,,
עירייה,2640,המרכז,ראש העין,Rosh HaAyin,Рош-ха-Аин,روش هاعين,,,,
עירייה,8300,המרכז,ראשון לציון,Rishon LeZion,Ришон-ле-Цион,ريشون لتسيون,,,,
עירייה,1161,הדרום,רהט,Rahat,Рахат,راهط,,,,
עירייה,8400,המרכז,רחובות,Rehovot,Реховот,رحوفوت,,,,
עירייה,8500,המרכז,רמלה,Ramla,Рамла,الرملة,,,,
עירייה,8600,תל אביב,רמת גן,Ramat Gan,Рамат-Ган,رمات غان,,,,
עירייה,2650,תל אביב,רמת השרון,Ramat HaSharon,Рамат-ха-Шарон,رامات هاشارون,,,,
עירייה,8700,המרכז,רעננה,Ra'anana,Раанана,رعنانا,,,,
עירייה,1031,הדרום,שדרות,Sderot,Сдерот,شديروت,,,,
עירייה,8800,הצפון,שפרעם,Shefa-'Amr,Шефарам,شفا عمرو,,,,
עירייה,5000,תל אביב,תל אביב -יפו,Tel Aviv,Тель-Авив,تل أبيب,,,,
מועצה מקומית,0472,ירושלים,אבו גוש,Abu Ghosh,Абу-Гош,أبو غوش,,,,
מועצה מקומית,0473,הצפון,אבו סנאן,Abu Snan,Абу-Снан,أبو سنان,,,,
מועצה מקומית,0182,המרכז,אבן יהודה,Even Yehuda,Эвен Йехуда,ابن يهودا,,,,
מועצה מקומית,3760,אזור יהודה והשומרון,אורנית,Oranit,,أورانيت,,,,
מועצה מקומית,0565,תל אביב,אזור,Azor,Азор,ازور,,,,
מועצה מקומית,0478,הצפון,אכסאל,Iksal,Иксал,إكسال,,,,
מועצה מקומית,0041,המרכז,אליכין,Elyakhin,,اليخين,,,,
מועצה מקומית,3750,אזור יהודה והשומרון,אלפי מנשה,Alfei Menashe,Альфей-Менаше,ألفيه منشه,,,,
מועצה מקומית,3560,אזור יהודה והשומרון,אלקנה,Elkana,,الكانا,,,,
מועצה מקומית,0529,הצפון,אעבלין,I'billin,Ибилин,إعبلين,,,,
מועצה מקומית,3650,אזור יהודה והשומרון,אפרתה,Efrat,Эфрат,افرات,,,,
מועצה מקומית,2530,המרכז,באר יעקב,Be'er Ya'akov,Беэр-Яаков,بئر يعقوب,,,,
מועצה מקומית,0482,הצפון,בועיינה-נוג'ידאת,Bu'eine Nujeidat,Буейне-Нуджидат,البعينة,,,,
מועצה מקומית,4001,הצפון,בוקעאתא,Buq'ata,Буката,بقعاثا,,,,
מועצה מקומית,0998,הצפון,ביר אל-מכסור,Bir al-Maksur,Бир-аль-Максур,بئر المكسور,,,,
מועצה מקומית,3574,אזור יהודה והשומרון,בית אל,Beit El,Бейт-Эль,بيت ايل,,,,
מועצה מקומית,3652,אזור יהודה והשומרון,בית אריה,Beit Aryeh-Ofarim,Бейт-Арье,,,,,
מועצה מקומית,0480,הצפון,בית ג'ן,Beit Jann,Бейт-Джан,بيت جن,,,,
מועצה מקומית,0466,המרכז,בית דגן,Beit Dagan,,بيت اريه,,,,
מועצה מקומית,1066,המרכז,"בני עי""ש",Bnei Ayish,Бней-Аиш,بني عيش,,,,
מועצה מקומית,9800,חיפה,בנימינה-גבעת עדה*,Binyamina-Giv'at Ada,Биньямина-Гиват Ада,بنيامينا - جبعات آدا,,,,
מועצה מקומית,1326,חיפה,"בסמ""ה",Basma,,بسمة,,,,
מועצה מקומית,0944,הצפון,בסמת טבעון,Basmat Tab'un,Басмат-Табун,بسمة طبعون,,,,
מועצה מקומית,0483,הצפון,בענה,Bi'ina,Бина,بعنا,,,,
מועצה מקומית,3730,אזור יהודה והשומרון,גבעת זאב,Giv'at Ze'ev,Гиват-Зеэв,جفعات زئيف,,,,
מועצה מקומית,1292,הצפון,ג'דיידה-מכר,Jadeidi-Makr,,جدايدة- مكر,,,,
מועצה מקומית,2550,המרכז,גדרה,Gedera,Гедера,جدارة,,,,
מועצה מקומית,0485,הצפון,ג'ולס,Julis,Джулис,جولس,,,,
מועצה מקומית,0627,המרכז,ג'לג'וליה,Jaljulia,,جلجولية,,,,
מועצה מקומית,0166,המרכז,גן יבנה,Gan Yavne,Ган-Явне,غان يفنة,,,,
מועצה מקומית,0229,המרכז,גני תקווה,Ganei Tikva,,جاني تكفا,,,,
מועצה מקומית,0541,חיפה,ג'סר א-זרקא,Jisr az-Zarqa,,جسر الزرقاء,,,,
מועצה מקומית,0487,הצפון,ג'ש (גוש חלב),Jish,Джиш,الجش,,,,
מועצה מקומית,0628,חיפה,ג'ת,Jatt,,جت,,,,
מועצה מקומית,0494,חיפה,דאלית אל-כרמל,Daliyat al-Karmel,,دالية الكرمل,,,,
מועצה מקומית,0489,הצפון,דבורייה,Daburiyya,Дабурия,دبورية,,,,
מועצה מקומית,0490,הצפון,דייר אל-אסד,Deir al-Asad,Дейр-аль-Асад,دير الأسد,,,,
מועצה מקומית,0492,הצפון,דייר חנא,Deir Hanna,,دير حنا,,,,
מועצה מקומית,3769,אזור יהודה והשומרון,הר אדר,Har Adar,,هار ادار,,,,
מועצה מקומית,9300,חיפה,זכרון יעקב,Zikhron Ya'akov,Зихрон-Яаков,زخرون ياكوف,,,,
מועצה מקומית,1290,המרכז,זמר,Zemer,,زيمر,,,,
מועצה מקומית,0975,הצפון,זרזיר,Zarzir,Зарзир,زرزور,,,,
מועצה מקומית,1303,הדרום,חורה,Hura,Хура,حورة,,,,
מועצה מקומית,0496,הצפון,חורפיש,Hurfeish,Хурфейш,حرفيش,,,,
מועצה מקומית,2034,הצפון,חצור הגלילית,Hatzor HaGlilit,Хацор-ха-Глилит,حورة,,,,
מועצה מקומית,0962,הצפון,טובא-זנגרייה,Tuba-Zangariyye,,طوبا الزنغرية,,,,
מועצה מקומית,0498,הצפון,טורעאן,Tur'an,,طرعان,,,,
מועצה מקומית,1295,הצפון,יאנוח-ג'ת,Yanuh-Jat,,طوبا-زنغريا,,,,
מועצה מקומית,0046,הצפון,יבנאל,Yavne'el,,يفنئل,,,,
מועצה מקומית,0029,הצפון,יסוד המעלה,Yesud HaMa'ala,Йесуд-ха-Маала,يسود همعلاة,,,,
מועצה מקומית,0499,הצפון,יפיע,Yafa an-Naseriyye,Яфия,يفيع,,,,
מועצה מקומית,0831,הדרום,ירוחם,Yeruham,Йерухам,يروحام,,,,
מועצה מקומית,0502,הצפון,ירכא,Yarka,Ярка,يركا,,,,
מועצה מקומית,0504,הצפון,כאבול,"Kabul, Israel",Кабул,كابول,,,,
מועצה מקומית,0505,הצפון,כאוכב אבו אל-היג'א,Kaukab Abu al-Hija,Каукаб-абу-аль-Хиджа,كاوكب أبو - الهيجاء,,,,
מועצה מקומית,1224,המרכז,כוכב יאיר,Kokhav Ya'ir,Кохав-Яир,كوخاف يائير,,,,
מועצה מקומית,1059,הדרום,כסיפה,Kuseife,Кусейфе,كسيفه,,,,
מועצה מקומית,1296,הצפון,כסרא-סמיע,Kisra-Sumei,,الكسرة - ساميع,,,,
מועצה מקומית,0978,הצפון,כעביה-טבאש-חג'אג'רה,Ka'abiyye-Tabbash-Hajajre,Каабия-Табаш-Хаджаджра,كعبيا-طباش-حجاجرة,,,,
מועצה מקומית,0633,המרכז,כפר ברא,Kafr Bara,,كفر برا,,,,
מועצה מקומית,1263,הצפון,כפר ורדים,Kfar Vradim,Кфар-Врадим,كفر ورود,,,,
מועצה מקומית,0507,הצפון,כפר יאסיף,Kafr Yasif,Кафр-Ясиф,كفرياسيف,,,,
מועצה מקומית,0168,המרכז,כפר יונה,Kfar Yona,Кфар-Йона,كفار يونا,,,,
מועצה מקומית,0508,הצפון,כפר כמא,Kfar Kama,Кфар-Кама,كفر كما,,,,
מועצה מקומית,0509,הצפון,כפר כנא,Kafr Kanna,Кафр-Кана,كفر كنا,,,,
מועצה מקומית,0510,הצפון,כפר מנדא,Kafr Manda,Кфар-Манда,كفر مندا,,,,
מועצה מקומית,0654,חיפה,כפר קרע,Kafr Qara,,كفر قرع,,,,
מועצה מקומית,0267,תל אביב,כפר שמריהו,Kfar Shmaryahu,Кфар-Шмарьягу,كفر شمرياهو,,,,
מועצה מקומית,0047,הצפון,כפר תבור,Kfar Tavor,Кфар-Тавор,كفار تابور,,,,
מועצה מקומית,1271,הדרום,להבים,Lehavim,Лехавим,لهافيم,,,,
מועצה מקומית,1060,הדרום,לקיה,Lakiya,Лакия,لاكيا,,,,
מועצה מקומית,1015,ירושלים,מבשרת ציון,Mevaseret Zion,Мевасерет-Цион,مفاشرت تسيون,,,,
מועצה מקומית,0481,הצפון,מגאר,Maghar,,المغار,,,,
מועצה מקומית,0516,הצפון,מג'ד אל-כרום,Majd al-Krum,,مجد الكروم,,,,
מועצה מקומית,0065,הצפון,מגדל,"Migdal, Israel",,مجدل,,,,
מועצה מקומית,4201,הצפון,מג'דל שמס,Majdal Shams,Мадждаль-Шамс,مجدل شمس,,,,
מועצה מקומית,0028,המרכז,מזכרת בתיה,Mazkeret Batya,,مزكيرت باتيا,,,,
מועצה מקומית,0517,הצפון,מזרעה,Mazra'a,,مزرعه,,,,
מועצה מקומית,0043,הצפון,מטולה,Metula,Метула,ماتولا,,,,
מועצה מקומית,1268,הדרום,מיתר,Meitar,Мейтар,ميتر,,,,
מועצה מקומית,4203,הצפון,מסעדה,Mas'ade,Масаада,مسعدة,,,,
מועצה מקומית,0518,הצפון,מעיליא,Mi'ilya,,معليا,,,,
מועצה מקומית,3608,אזור יהודה והשומרון,מעלה אפרים,Ma'ale Efrayim,,معاليه افرايم,,,,
מועצה מקומית,1327,חיפה,מעלה עירון,Ma'ale Iron,,معاليه عيرون,,,,
מועצה מקומית,0099,הדרום,מצפה רמון,Mitzpe Ramon,Мицпе-Рамон,ميتسبي رامون,,,,
מועצה מקומית,0520,הצפון,משהד,"Mashhad, Israel",Машхад,المشهد,,,,
מועצה מקומית,0522,הצפון,נחף,Nahf,Нахф,نحف,,,,
מועצה מקומית,0525,הצפון,סאג'ור,Sajur,,ساجور,,,,
מועצה מקומית,0587,המרכז,סביון*,Savyon,,سسافيون,,,,
מועצה מקומית,4501,הצפון,ע'ג'ר,Ghajar,,غجر,,,,
מועצה מקומית,0666,הדרום,עומר,Omer,,عمر,,,,
מועצה מקומית,0530,הצפון,עיילבון,Eilabun,,علابون,,,,
מועצה מקומית,0511,הצפון,עילוט,Ilut,Илут,عيلوط,,,,
מועצה מקומית,0532,הצפון,עין מאהל,Ein Mahil,,عين ماهل,,,,
מועצה מקומית,4502,הצפון,עין קנייא,Ein Qiniyye,,عين قنية,,,,
מועצה מקומית,3660,אזור יהודה והשומרון,עמנואל,Immanuel,,عيمانويل,,,,
מועצה מקומית,0534,חיפה,עספיא,Isfiya,,عصفيا,,,,
מועצה מקומית,0531,הצפון,עראבה,Arraba,Аррабе,عرابة,,,,
מועצה מקומית,0637,חיפה,ערערה,Ar'ara,,عرعرة المثلث,,,,
מועצה מקומית,1192,הדרום,ערערה-בנגב,Ar'arat an-Naqab,Арара-ба-Негев,عرعرة-الجنوب,,,,
מועצה מקומית,0537,חיפה,פוריידיס,Fureidis,,الفريديس,,,,
מועצה מקומית,0535,הצפון,פסוטה,Fassuta,,فصوطه,,,,
מועצה מקומית,0536,הצפון,פקיעין (בוקייעה),Peki'in,Пкиин,البقيعة,,,,
מועצה מקומית,7800,חיפה,פרדס חנה-כרכור,Pardes Hanna-Karkur,Пардес-Хана-Каркур,بارديس حنا-كركور,,,,
מועצה מקומית,0171,המרכז,פרדסייה,Pardesiya,,فردسية,,,,
מועצה מקומית,3557,אזור יהודה והשומרון,קדומים,Kedumim,Кдумим,كدوميم,,,,
מועצה מקומית,0195,המרכז,קדימה-צורן,Tzoran-Kadima,Кадима-Цоран,كاديما- زوران,,,,
מועצה מקומית,1247,חיפה,קציר-חריש,Katzir-Harish,,كتسير - حريش,,,,
מועצה מקומית,4100,הצפון,קצרין,Katzrin,Кацрин,كتسيرين,,,,
מועצה מקומית,3611,אזור יהודה והשומרון,קריית ארבע,Kiryat Arba,Кирьят-Арба,كريات أربع,,,,
מועצה מקומית,2300,חיפה,קריית טבעון,Kiryat Tiv'on,Кирьят-Тивон,كريات طبعون,,,,
מועצה מקומית,1137,ירושלים,קריית יערים,Kiryat Ye'arim,Кирьят-Йеарим,كريات يعاريم,,,,
מועצה מקומית,0469,המרכז,קריית עקרון,Kiryat Ekron,Кирьят-Экрон,كريات عقرون,,,,
מועצה מקומית,3640,אזור יהודה והשומרון,קרני שומרון,Karnei Shomron,,كارني شومرون,,,,
מועצה מקומית,0543,הצפון,ראמה,Rameh,,الرامة,,,,
מועצה מקומית,0026,הצפון,ראש פינה,Rosh Pinna,Рош-Пинна,روش بينا,,,,
מועצה מקומית,0542,הצפון,ריינה,Reineh,Рейне,الرينة,,,,
מועצה מקומית,0922,חיפה,רכסים,Rekhasim,,رخاسيم,,,,
מועצה מקומית,0122,הצפון,רמת ישי,Ramat Yishai,Рамат-Ишай,رمات يشاي,,,,
מועצה מקומית,0913,הצפון,שבלי - אום אל-גנם,Shibli–Umm al-Ghanam,Шибли-Умм-аль-Ганам,شبلي-اوم الغنم,,,,
מועצה מקומית,1286,הדרום,שגב-שלום,Shaqib al-Salam,Сегев-Шалом,شقيب السلام,,,,
מועצה מקומית,1304,המרכז,שוהם,Shoham,,شوهام,,,,
מועצה מקומית,0812,הצפון,שלומי,Shlomi,Шломи,شلومي,,,,
מועצה מקומית,0538,הצפון,שעב,Sha'ab,Шааб,شعب,,,,
מועצה מקומית,0154,המרכז,תל מונד,Tel Mond,,تل موند,,,,
מועצה מקומית,1054,הדרום,תל שבע,Tel as-Sabi,Тель-Шева,تل السبع,,,,
מועצה אזורית,67,הדרום,אבו בסמה,Abu Basma,Абу Басма,أبو بسمة,,,,
מועצה אזורית,65,הצפון,אל-בטוף,El-Batuf,Аль-Батуф,البطوف,,,,
מועצה אזורית,45,חיפה,אלונה,Alona,Алона,الونا,,,,
מועצה אזורית,38,הדרום,אשכול,Eshkol,Эшколь,اشكول,,,,
מועצה אזורית,33,הדרום,באר טוביה,Be'er Tuvia,Беер-Тувия,بئر طوبيا,,,,
מועצה אזורית,66,הצפון,בוסתן אל-מרג',Bustan El-Marj,Бустан-аль-Мардж,بستان المارج,,,,
מועצה אזורית,41,הדרום,בני שמעון,Bnei Shim'on,Бней-Шимон,بني شمعون,,,,
מועצה אזורית,28,המרכז,ברנר,Brenner,Бреннер,برينر,,,,
מועצה אזורית,32,המרכז,גדרות,Gederot,Гдерот,جدروت,,,,
מועצה אזורית,71,הצפון,גולן,Golan,Голан,الجولان,,,,
מועצה אזורית,76,אזור יהודה והשומרון,גוש עציון,Gush Etzion,Гуш Эцийон,غوش عتصيون,,,,
מועצה אזורית,30,המרכז,גזר,Gezer,Гезер,جيزير,,,,
מועצה אזורית,27,המרכז,גן רווה,Gan Raveh,Ган-Раве,غن رافه,,,,
מועצה אזורית,20,המרכז,דרום השרון,Drom HaSharon,Дром Ха-Шарон,جنوب شارون,,,,
מועצה אזורית,08,הצפון,הגלבוע,HaGilboa,Ха-Гильбоа,جلبوع,,,,
מועצה אזורית,01,הצפון,הגליל העליון,HaGalil HaElion,Ха-Галиль Ха-Эльйон,الجليل الأعلى,,,,
מועצה אזורית,03,הצפון,הגליל התחתון,HaGalil HaTachton,Ха-Галиль Ха-Тахтон,لاجليل الاسفل,,,,
מועצה אזורית,54,הדרום,הערבה התיכונה,HaArava HaTichonah,Ха-Арава Ха-Тахтон,وادي عربة,,,,
מועצה אזורית,78,אזור יהודה והשומרון,הר חברון,Har Hermon,Хар Хермон,جبل الخليل,,,,
מועצה אזורית,12,חיפה,זבולון,Zevulun,Звулун,زبولون,,,,
מועצה אזורית,53,הדרום,חבל אילות,Hevel Eilot,Хевель-Эйлот,حبل إيلوت,,,,
מועצה אזורית,29,המרכז,חבל יבנה,Hevel Yavne,Хевель Явне,حبل يفنه,,,,
מועצה אזורית,25,המרכז,חבל מודיעין,Hevel Modi'in,Хевель-Модиин,حبل موديعين,,,,
מועצה אזורית,36,הדרום,חוף אשקלון,Hof Ashkelon,Хоф Ашкелон,شاطئ اشكلون,,,,
מועצה אזורית,15,חיפה,חוף הכרמל,Hof HaCarmel,Хоф Ха-Кармель,شاطئ الكرمل,,,,
מועצה אזורית,19,המרכז,חוף השרון,Hof HaSharon,Хоф Ха-Шарон,شاطئ شارون,,,,
מועצה אזורית,35,הדרום,יואב,Yoav,Йоав,يوآف,,,,
מועצה אזורית,18,המרכז,לב השרון,Lev HaSharon,Лев Ха-Шарон,ليف هشارون,,,,
מועצה אזורית,50,הדרום,לכיש,Lachish,Лахиш,لخيش,,,,
מועצה אזורית,55,הצפון,מבואות החרמון,Mevo'ot HaHermon,Межот Ха-Хермон,مقدمات حرمون,,,,
מועצה אזורית,13,הצפון,מגידו,Megiddo,Мегидо,مجيدو,,,,
מועצה אזורית,74,אזור יהודה והשומרון,מגילות ים המלח,Megillot Yam HaMelach,Мегилот Ям Ха-Мелах,مخطوطات البحر الميت,,,,
מועצה אזורית,04,הצפון,מטה אשר,Mate Asher,Мате Ашер,ماطه آشر,,,,
מועצה אזורית,73,אזור יהודה והשומרון,מטה בנימין,Mate Binyamin,Мате Биньямин,ماطه بنيامين,,,,
מועצה אזורית,26,ירושלים,מטה יהודה,Mate Yehuda,Мате-Йехуда,ماطه يهودا,,,,
מועצה אזורית,14,חיפה,מנשה,Menashe,Менаше,منشه,,,,
מועצה אזורית,52,הצפון,מעלה יוסף,Ma'aleh Yosef,Маале Йосеф,معاليه يوسيف,,,,
מועצה אזורית,02,הצפון,מרום הגליל,Merom HaGalil,Мером-ха-Галиль,ميروم الجليل,,,,
מועצה אזורית,42,הדרום,מרחבים,Merchavim,Мерхавим,ميرهافيم,,,,
מועצה אזורית,56,הצפון,משגב,Misgav,Мисгав,مسغاف,,,,
מועצה אזורית,31,המרכז,נחל שורק,Nahal Sorek,Нахаль Сорек,ناحال سوريك,,,,
מועצה אזורית,06,הצפון,עמק הירדן,Emek HaYarden,Эмек Ха-Ярден,وادي الأردن,,,,
מועצה אזורית,07,הצפון,עמק המעיינות,Emek HaMa'ayanot,Эмек Ха-Мааянот,وادي الينابيع,,,,
מועצה אזורית,16,המרכז,עמק חפר,Emek Chefer,Эмек Хефер,عيمك حيفر,,,,
מועצה אזורית,09,הצפון,עמק יזרעאל,Emek Yizreel,Эмек Йизреель,عيمك يزرعيل,,,,
מועצה אזורית,40,המרכז,עמק לוד,Emek Lod,Эмек Лод,عيمك اللد,,,,
מועצה אזורית,75,אזור יהודה והשומרון,ערבות הירדן,Arvot HaYarden,Арвот Ха-Ярден,عرفوت الأردن,,,,
מועצה אזורית,48,הדרום,רמת נגב,Ramat Negev,Рамат Негев,رمات النقب,,,,
מועצה אזורית,39,הדרום,שדות נגב,Sedot Negev,Сдот Негев,سدوت النقب,,,,
מועצה אזורית,72,אזור יהודה והשומרון,שומרון,Shomron,Шомрон,شومرون,,,,
מועצה אזורית,37,הדרום,שער הנגב,Sha'ar HaNegev,Шаар-ха-Негев,شعار هانيغيف,,,,
מועצה אזורית,34,הדרום,שפיר,Shafir,Шафир,شافير,,,,
מועצה אזורית,51,הדרום,תמר,Tamar,Тамар,تامار,,,,