NAME,CODE,PARENT,DIRECTION,INVERSE,DESCRIPTION
מסים ומענק כללי,1,,REVENUE,,
ארנונות,11,1,REVENUE,,
אגרות,12,1,REVENUE,,
היטלים,13,1,REVENUE,,
מכסות,14,1,REVENUE,,
השתת' כללית של מוסדות,15,1,REVENUE,,
הכנסות מימון,16,1,REVENUE,,
מענקים כלליים,19,1,REVENUE,,
שירותים מקומיים,2,,REVENUE,,
תברואה,21,2,REVENUE,,
שמירה וביטחון,22,2,REVENUE,,
תכנון ובניין עיר,23,2,REVENUE,,
נכסים ציבוריים,24,2,REVENUE,,
חגיגות מבצעים ואירועים,25,2,REVENUE,,
שירותים עירוניים שונים,26,2,REVENUE,,
פיתוח כלכלי,27,2,REVENUE,,
פיקוח עירוני,28,2,REVENUE,,
שירותים חקלאיים,29,2,REVENUE,,
שירותים ממלכתיים,3,3,REVENUE,,
חינוך,31,3,REVENUE,,
תרבות,32,3,REVENUE,,
בריאות,33,3,REVENUE,,
רווחה,34,3,REVENUE,,
דת,35,3,REVENUE,,
קליטת עליה,36,3,REVENUE,,
איכות הסביבה,37,3,REVENUE,,
מפעלים,4,,REVENUE,,
מים,41,4,REVENUE,,
בתי מטבחיים,42,4,REVENUE,,
נכסים,43,4,REVENUE,,
תחבורה,44,4,REVENUE,,
מפעלי תעסוקה,45,4,REVENUE,,
חשמל,46,4,REVENUE,,
מפעל הביוב,47,4,REVENUE,,
מפעלים אחרים,48,4,REVENUE,,
תקבולים בלתי רגילים,5,,REVENUE,,
ריבית והחזר הוצאות משנים קודמות,51,5,REVENUE,,
החזר מקרנות והכנסות מיוחדות,59,5,REVENUE,,
הנהלה כללית,6,,EXPENDITURE,1,
מינהל כללי,61,6,EXPENDITURE,11,
מינהל כספי,62,6,EXPENDITURE,12,
הוצאות מימון,63,6,EXPENDITURE,13,
פירעון מלוות,64,6,EXPENDITURE,14,
שירותים מקומיים,7,,EXPENDITURE,2,
תברואה,71,7,EXPENDITURE,21,
שמירה וביטחון,72,7,EXPENDITURE,22,
תכנון ובניין עיר,73,7,EXPENDITURE,23,
נכסים ציבוריים,74,7,EXPENDITURE,24,
חגיגות מבצעים ואירועים,75,7,EXPENDITURE,25,
שירותים עירוניים שונים,76,7,EXPENDITURE,26,
פיתוח כלכלי,77,7,EXPENDITURE,27,
פיקוח עירוני,78,7,EXPENDITURE,28,
שירותים חקלאיים,79,7,EXPENDITURE,29,
שירותים ממלכתיים,8,,EXPENDITURE,30,
חינוך,81,8,EXPENDITURE,31,
תרבות,82,8,EXPENDITURE,32,
בריאות,83,8,EXPENDITURE,33,
רווחה,84,8,EXPENDITURE,34,
דת,85,8,EXPENDITURE,35,
קליטת עליה,86,8,EXPENDITURE,36,
איכות הסביבה,87,8,EXPENDITURE,37,
מפעלים,9,,EXPENDITURE,4,
מים,91,9,EXPENDITURE,41,
בתי מטבחיים,92,9,EXPENDITURE,42,
נכסים,93,9,EXPENDITURE,43,
תחבורה,94,9,EXPENDITURE,44,
מפעלי תעסוקה,95,9,EXPENDITURE,45,
חשמל,96,9,EXPENDITURE,46,
מפעל הביוב,97,9,EXPENDITURE,47,
מפעלים אחרים,98,9,EXPENDITURE,48,
תשלומים בלתי רגילים,99,,EXPENDITURE,5,
תקציבי עזר,0,,EXPENDITURE,,